"Room","Quantity","Finalist","P18 Hz","Band start Hz","Band end Hz","P19 worst Hz","P19 deviation dB","P19 grade","P20 worst seat","P20 worst Hz","P20 deviation dB","P20 grade","Below P18 P19 worst Hz","Below P18 P19 dB","Below P18 P20 worst seat","Below P18 P20 worst Hz","Below P18 P20 dB","Below P18 affects grade"
"Room B","1","current production","23.978","23.978","162.65","23.984","8.158","L0","secondary-centre","53.454","12.017","L1","22.152","13.283","secondary-centre","16.358","11.349","NO"
"Room B","1","practical placement only","23.971","23.971","162.65","23.984","8.153","L0","secondary-centre","53.454","12.036","L1","22.152","13.27","secondary-centre","16.358","11.344","NO"
"Room B","1","practical + optimised delay","23.971","23.971","162.65","23.984","8.153","L0","secondary-centre","53.454","12.036","L1","22.152","13.27","secondary-centre","16.358","11.344","NO"
"Room B","1","practical + optimised level/delay","23.971","23.971","162.65","23.984","8.153","L0","secondary-centre","53.454","12.036","L1","22.152","13.27","secondary-centre","16.358","11.344","NO"
"Room B","1","unrestricted + optimised level/delay","23.971","23.971","162.65","23.984","8.153","L0","secondary-centre","53.454","12.036","L1","22.152","13.27","secondary-centre","16.358","11.344","NO"
"Room B","2","current production","17.2","17.2","162.65","17.206","8.334","L0","secondary-left","17.33","10.717","L1","15","9.095","secondary-left","17.082","10.514","NO"
"Room B","2","practical placement only","23.074","23.074","162.65","23.133","7.805","L0","secondary-left","93.203","12.152","L1","21.213","10.946","secondary-left","17.33","11.235","NO"
"Room B","2","practical + optimised delay","16.393","16.393","162.65","16.476","8.242","L0","secondary-left","65.905","7.485","L1","15","9.136","primary-left","15","0","NO"
"Room B","2","practical + optimised level/delay","16.862","16.862","162.65","16.959","7.877","L0","secondary-left","93.203","12.18","L1","15","9.118","primary-left","15","0","NO"
"Room B","2","unrestricted + optimised level/delay","16.862","16.862","162.65","16.959","7.877","L0","secondary-left","93.203","12.18","L1","15","9.118","primary-left","15","0","NO"
"Room B","4","current production","15","15","162.65","15","7.093","L0","secondary-left","51.932","18.501","L1","","","","","","NO"
"Room B","4","practical placement only","15","15","162.65","15","7.75","L0","secondary-centre","53.454","14.37","L1","","","","","","NO"
"Room B","4","practical + optimised delay","15","15","162.65","15","6.172","L0","secondary-left","138.642","11.516","L1","","","","","","NO"
"Room B","4","practical + optimised level/delay","15","15","162.65","15","6.169","L0","secondary-left","90.55","6.442","L1","","","","","","NO"
"Room B","4","unrestricted + optimised level/delay","15","15","162.65","15","6.169","L0","secondary-left","90.55","6.442","L1","","","","","","NO"
"Room C","1","current production","20.846","20.846","128.3","20.909","6.821","L0","secondary-right","34.912","15.931","L1","16.837","9.11","primary-left","19.174","5.006","NO"
"Room C","1","practical placement only","19.34","19.34","128.3","19.453","8.292","L0","secondary-left","45.275","18.337","L1","15","11.857","primary-left","15","0","NO"
"Room C","1","practical + optimised delay","19.34","19.34","128.3","19.453","8.292","L0","secondary-left","45.275","18.337","L1","15","11.857","primary-left","15","0","NO"
"Room C","1","practical + optimised level/delay","19.34","19.34","128.3","19.453","8.292","L0","secondary-left","45.275","18.337","L1","15","11.857","primary-left","15","0","NO"
"Room C","1","unrestricted + optimised level/delay","19.34","19.34","128.3","19.453","8.292","L0","secondary-left","45.275","18.337","L1","15","11.857","primary-left","15","0","NO"
"Room C","2","current production","20.179","20.179","128.3","20.314","7.877","L0","secondary-left","45.275","10.347","L1","18.763","9.898","secondary-centre","15","10.528","NO"
"Room C","2","practical placement only","16.366","16.366","128.3","16.476","8.67","L0","secondary-left","45.275","18.358","L1","15","9.236","secondary-left","16.358","0.372","NO"
"Room C","2","practical + optimised delay","17.717","17.717","128.3","17.838","6.785","L0","primary-left","116.584","12.636","L1","15","8.993","primary-left","15","0","NO"
"Room C","2","practical + optimised level/delay","17.735","17.735","128.3","17.838","6.766","L0","primary-left","77.251","12.245","L1","15","8.977","primary-left","15","0","NO"
"Room C","2","unrestricted + optimised level/delay","17.735","17.735","128.3","17.838","6.766","L0","primary-left","77.251","12.245","L1","15","8.977","primary-left","15","0","NO"
"Room C","4","current production","15","15","128.3","15","6.922","L0","secondary-left","47.622","20.946","L1","","","","","","NO"
"Room C","4","practical placement only","15","15","128.3","15","7.214","L0","secondary-right","44.305","18.795","L1","","","","","","NO"
"Room C","4","practical + optimised delay","15","15","128.3","15","6.169","L0","secondary-right","40.335","10.298","L1","","","","","","NO"
"Room C","4","practical + optimised level/delay","15","15","128.3","15","6.168","L0","secondary-centre","36.457","13.883","L1","","","","","","NO"
"Room C","4","unrestricted + optimised level/delay","15","15","128.3","15","6.17","L0","secondary-centre","48.315","20.269","L1","","","","","","NO"
