"Quantity","Search type","Placement","Levels","Delays","30-60 P19","30-60 P20","Official P18","Official P19","P19 grade","Worst Hz","Official P20","P20 grade","Worst seat","Worst Hz","Practicality","Simulation ms","Optimiser ms"
"1","current production","2/6.2/0.35","0","0","0.855","12.017","0","0","Lnull","0","0","Lnull","","0","1","5162.1","16836.5"
"1","practical placement only","2/6.17/0.35","0","0","0.855","12.036","0","0","Lnull","0","0","Lnull","","0","1","5156.5","15180.1"
"1","practical + optimised delay","2/6.17/0.35","0","0","0.855","12.036","0","0","Lnull","0","0","Lnull","","0","1","5156.5","15180.1"
"1","practical + optimised level/delay","2/6.17/0.35","0","0","0.855","12.036","0","0","Lnull","0","0","Lnull","","0","1","5156.5","15180.1"
"1","unrestricted + optimised level/delay","2/6.17/0.35","0","0","0.855","12.036","0","0","Lnull","0","0","Lnull","","0","1","5156.5","15180.1"
"2","current production","1/6.2/0.35; 3/6.2/0.35","0; 0","0; 0","0.314","8.981","0","0","Lnull","0","0","Lnull","","0","2","10064","19465.4"
"2","practical placement only","3.75/6.17/0.35; 0.25/6.17/0.35","0; 0","0; 0","0.614","8.596","0","0","Lnull","0","0","Lnull","","0","2","9848.7","32584.8"
"2","practical + optimised delay","2/6.17/0.35; 2/0.13/0.35","0; 0","7.977; 0","1.687","5.864","0","0","Lnull","0","0","Lnull","","0","2","9810.9","8501.3"
"2","practical + optimised level/delay","2/6.17/0.35; 2/0.13/0.35","0; -0.842","0; 9.152","1.047","8.781","0","0","Lnull","0","0","Lnull","","0","2","9922.2","17352.2"
"2","unrestricted + optimised level/delay","2/6.17/0.35; 2/0.13/0.35","0; -0.842","0; 9.152","1.047","8.781","0","0","Lnull","0","0","Lnull","","0","2","9922.2","17352.2"
"4","current production","1/0.1/0.35; 3/0.1/0.35; 1/6.2/0.35; 3/6.2/0.35","0; 0; 0; 0","0; 0; 0; 0","1.088","18.501","0","0","Lnull","0","0","Lnull","","0","1","19871.5","18436.9"
"4","practical placement only","2/0.13/0.35; 1.3/6.17/0.35; 2/6.17/0.35; 2.7/6.17/0.35","0; 0; 0; 0","0; 0; 0; 0","0.153","14.37","0","0","Lnull","0","0","Lnull","","0","2","19810.8","24256.1"
"4","practical + optimised delay","3.26/0.13/0.35; 1.3/0.13/0.35; 2.7/6.17/0.35; 1.3/6.17/0.35","0; 0; 0; 0","9.829; 10.507; 0; 2.798","0.091","10.09","0","0","Lnull","0","0","Lnull","","0","2","19877.5","41386.3"
"4","practical + optimised level/delay","2/0.13/0.35; 1.3/6.17/0.35; 2/6.17/0.35; 2.7/6.17/0.35","0; -1.64; -0.902; -1.574","10.807; 0; 7.162; 0","0.086","6.124","0","0","Lnull","0","0","Lnull","","0","2","19754.9","35118.4"
"4","unrestricted + optimised level/delay","2/0.13/0.35; 1.3/6.17/0.35; 2/6.17/0.35; 2.7/6.17/0.35","0; -1.64; -0.902; -1.574","10.807; 0; 7.162; 0","0.086","6.124","0","0","Lnull","0","0","Lnull","","0","2","19754.9","35118.4"
