"Quantity","Search type","Placement","Levels","Delays","30-60 P19","30-60 P20","Official P18","Official P19","P19 grade","Worst Hz","Official P20","P20 grade","Worst seat","Worst Hz","Practicality","Simulation ms","Optimiser ms"
"1","current production","0.1/5.63/0.35","0","0","0.484","15.931","20.846","6.821","L0","20.909","15.931","L1","secondary-right","34.912","3","8045.4","15440.6"
"1","practical placement only","2.4/0.13/0.35","0","0","2.068","18.337","19.34","8.292","L0","19.453","18.337","L1","secondary-left","45.275","1","7836.3","28005.8"
"1","practical + optimised delay","2.4/0.13/0.35","0","0","2.068","18.337","19.34","8.292","L0","19.453","18.337","L1","secondary-left","45.275","1","7836.3","28005.8"
"1","practical + optimised level/delay","2.4/0.13/0.35","0","0","2.068","18.337","19.34","8.292","L0","19.453","18.337","L1","secondary-left","45.275","1","7836.3","28005.8"
"1","unrestricted + optimised level/delay","2.4/0.13/0.35","0","0","2.068","18.337","19.34","8.292","L0","19.453","18.337","L1","secondary-left","45.275","1","7836.3","28005.8"
"2","current production","1.2/7.4/0.35; 3.6/7.4/0.35","0; 0","0; 0","0.983","10.347","20.179","7.877","L0","20.314","10.347","L1","secondary-left","45.275","2","16115.2","26189.9"
"2","practical placement only","3.26/0.13/0.35; 1.54/0.13/0.35","0; 0","0; 0","1.103","18.358","16.366","8.67","L0","16.476","18.358","L1","secondary-left","45.275","2","15936.4","12992.7"
"2","practical + optimised delay","2.4/7.37/0.35; 2.4/0.13/0.35","0; 0","0; 10.846","0.975","6.954","17.717","6.785","L0","17.838","12.636","L1","primary-left","116.584","2","16060.1","14629"
"2","practical + optimised level/delay","2.4/7.37/0.35; 2.4/0.13/0.35","0; -1.139","0; 11.19","1.33","8.313","17.735","6.766","L0","17.838","12.245","L1","primary-left","77.251","2","15873.5","10709"
"2","unrestricted + optimised level/delay","2.4/7.37/0.35; 2.4/0.13/0.35","0; -1.139","0; 11.19","1.33","8.313","17.735","6.766","L0","17.838","12.245","L1","primary-left","77.251","2","15873.5","10709"
"4","current production","1.2/0.1/0.35; 3.6/0.1/0.35; 1.2/7.4/0.35; 3.6/7.4/0.35","0; 0; 0; 0","0; 0; 0; 0","1.004","20.946","15","6.922","L0","15","20.946","L1","secondary-left","47.622","1","32497.4","15471.7"
"4","practical placement only","0.85/0.13/0.35; 4.55/0.13/0.35; 1.54/0.13/0.35; 3.26/0.13/0.35","0; 0; 0; 0","0; 0; 0; 0","0.471","18.795","15","7.214","L0","15","18.795","L1","secondary-right","44.305","2","32286.2","19649.2"
"4","practical + optimised delay","3.26/0.13/0.35; 2.4/0.13/0.35; 1.54/7.37/0.35; 1.54/0.13/0.35","0; 0; 0; 0","0; 10.064; 2.998; 14.514","0.081","10.298","15","6.169","L0","15","10.298","L1","secondary-right","40.335","2","31578.3","41565.2"
"4","practical + optimised level/delay","3.26/0.13/0.35; 1.54/7.37/0.35; 2.4/0.13/0.35; 2.4/7.37/0.35","-4.625; -3.439; -3.293; 0","0.25; 0; 8.325; 12.804","0.496","13.883","15","6.168","L0","15","13.883","L1","secondary-centre","36.457","2","31637.7","9978.6"
"4","unrestricted + optimised level/delay","2.4/7.37/0.35; 2.4/0.13/0.35; 0.25/1/0.35; 3.95/1/0.35","0; -1.139; -40; -40","0; 11.19; 0; 0","0.396","20.269","15","6.17","L0","15","20.269","L1","secondary-centre","48.315","4","31977.5","28733.3"
